"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","OILIMPPRICE","TOT","USD_BAR","A","1980",33.39,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1981",36.69,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1982",33.39,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1983",29.19,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1984",28.6,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1985",26.78,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1986",14.71,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1987",17.73,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1988",14.33,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1989",17.5,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1990",21.07,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1991",18.23,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1992",17.73,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1993",15.87,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1994",15.06,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1995",16.74,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1996",20.16,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1997",18.34,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1998",12.02,
"USA","OILIMPPRICE","TOT","USD_BAR","A","1999",17.06,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2000",27.54,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2001",22.07,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2002",23.52,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2003",27.66,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2004",35.86,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2005",48.82,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2006",59.17,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2007",66.77,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2008",94.97,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2009",58.83,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2010",76.02,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2011",102.43,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2012",101.16,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2013",97.26,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2014",89.43,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2015",45.81,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2016",37.94,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2017",48.12,
"USA","OILIMPPRICE","TOT","USD_BAR","A","2018",59.19,
