rebal_int,qty_long,qty_med,qty_short,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
3,28,20,10,9,139,0,34,16,8,20.59,0.28,8.82,181.6,-0.17
3,29,20,10,9,139,0,34,16,8,20.34,0.28,8.8,178.99,-0.17
3,30,20,10,9,139,0,34,16,8,20.26,0.28,8.78,177.88,-0.17
3,32,20,10,9,139,0,34,16,8,20.04,0.28,8.75,175.35,-0.16
3,27,20,10,9,139,0,34,16,8,19.72,0.27,8.68,171.17,-0.17
3,34,20,10,9,139,0,34,16,8,19.43,0.27,8.69,168.85,-0.16
3,33,20,10,9,139,0,34,16,8,19.36,0.27,8.65,167.46,-0.16
3,35,20,10,9,139,0,34,16,8,17.72,0.26,8.5,150.62,-0.17
3,42,20,10,9,139,0,34,16,8,18.11,0.27,8.3,150.31,-0.17
3,37,20,10,9,139,0,34,16,8,17.67,0.26,8.46,149.49,-0.17
3,26,20,10,9,139,0,34,16,8,17.35,0.26,8.54,148.17,-0.18
3,40,20,10,9,139,0,34,16,8,17.26,0.26,8.18,141.19,-0.17
3,21,20,10,9,139,0,34,16,8,15.69,0.25,8.48,133.05,-0.18


