rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
4,"(25, 20, 10)",2,139,33,34,21,10,8.65,0.19,4.12,35.64,-0.27
4,"(25, 20, 10)",2,139,37,34,21,10,8.63,0.19,4.1,35.38,-0.29
4,"(25, 20, 10)",2,139,41,34,21,10,8.63,0.19,4.1,35.38,-0.3
4,"(25, 20, 10)",2,139,45,34,21,10,8.63,0.19,4.08,35.21,-0.3
4,"(25, 20, 10)",2,139,49,34,21,10,8.6,0.19,4.07,35.0,-0.3
4,"(25, 20, 10)",2,139,43,34,21,10,8.6,0.19,4.07,35.0,-0.31
4,"(25, 20, 10)",2,139,31,34,21,10,8.45,0.19,4.08,34.48,-0.28
4,"(25, 20, 10)",2,139,53,34,21,10,8.41,0.19,4.02,33.81,-0.32
4,"(25, 20, 10)",2,139,57,34,21,10,8.41,0.19,4.02,33.81,-0.32
4,"(25, 20, 10)",2,139,55,34,21,10,8.41,0.19,4.02,33.81,-0.32
4,"(25, 20, 10)",2,139,67,34,21,10,8.4,0.19,4.02,33.77,-0.32
4,"(25, 20, 10)",2,139,29,34,21,10,8.09,0.19,4.09,33.09,-0.26
4,"(25, 20, 10)",2,139,21,34,21,10,7.88,0.19,4.19,33.02,-0.24
4,"(25, 20, 10)",2,139,61,34,21,10,8.24,0.19,3.97,32.71,-0.33
4,"(25, 20, 10)",2,139,25,34,21,10,7.85,0.19,4.11,32.26,-0.25
4,"(25, 20, 10)",2,139,17,34,21,10,7.21,0.18,4.18,30.14,-0.21
4,"(25, 20, 10)",2,139,19,34,21,10,6.96,0.18,4.04,28.12,-0.22
4,"(25, 20, 10)",2,139,13,34,21,10,5.89,0.16,4.07,23.97,-0.2
4,"(25, 20, 10)",2,139,9,34,21,10,3.69,0.13,3.69,13.62,-0.19
4,"(25, 20, 10)",2,139,7,34,21,10,2.65,0.11,3.33,8.82,-0.2
4,"(25, 20, 10)",2,139,5,34,21,10,1.67,0.08,2.87,4.79,-0.19
4,"(25, 20, 10)",2,139,1,34,21,10,-0.19,-0.02,-0.9,0.17,-0.25
